,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Number,NumberAssigned,NationalCode,AreaCode,Networkcode,SubscriberNumber,Golden,GW,SubscriberName
254207901194,,254,20,790,1194,,,
254207901195,,254,20,790,1195,,,
254207901196,,254,20,790,1196,,,
254207901197,,254,20,790,1197,,,
254207901198,,254,20,790,1198,,,
254207901199,,254,20,790,1199,,,
254207901200,,254,20,790,1200,,,
254207901201,,254,20,790,1201,,,
254207901202,,254,20,790,1202,,,
254207901203,,254,20,790,1203,,,
254207901204,,254,20,790,1204,,,
254207901205,,254,20,790,1205,,,
254207901206,,254,20,790,1206,,,
254207901207,,254,20,790,1207,,,
254207901208,,254,20,790,1208,,,
254207901209,,254,20,790,1209,,,
254207901210,,254,20,790,1210,,,
254207901211,No,254,20,790,1211,NO,,
254207901212,,254,20,790,1212,,,
254207901213,,254,20,790,1213,,,
254207901214,,254,20,790,1214,,,
254207901215,,254,20,790,1215,,,
254207901216,,254,20,790,1216,,,
254207901217,,254,20,790,1217,,,
254207901218,,254,20,790,1218,,,
254207901219,,254,20,790,1219,,,
254207901220,,254,20,790,1220,,,
254207901221,,254,20,790,1221,,,
254207901222,,254,20,790,1222,,,
254207901223,,254,20,790,1223,,,
254207901224,,254,20,790,1224,,,
254207901225,,254,20,790,1225,,,
254207901226,,254,20,790,1226,,,
254207901227,,254,20,790,1227,,,
254207901228,,254,20,790,1228,,,
254207901229,,254,20,790,1229,,,
254207901230,,254,20,790,1230,,,
254207901231,,254,20,790,1231,,,
254207901232,,254,20,790,1232,,,
254207901233,,254,20,790,1233,,,
254207901234,,254,20,790,1234,,,
254207901235,,254,20,790,1235,,,
254207901236,,254,20,790,1236,,,
254207901237,,254,20,790,1237,,,
254207901238,,254,20,790,1238,,,
254207901239,,254,20,790,1239,,,
254207901240,,254,20,790,1240,,,
254207901241,,254,20,790,1241,,,
254207901242,,254,20,790,1242,,,
254207901243,,254,20,790,1243,,,
254207901244,,254,20,790,1244,,,
254207901245,,254,20,790,1245,,,
254207901246,,254,20,790,1246,,,
254207901247,,254,20,790,1247,,,
254207901248,,254,20,790,1248,,,
254207901249,,254,20,790,1249,,,
254207901250,,254,20,790,1250,,,
254207901251,,254,20,790,1251,,,
254207901252,,254,20,790,1252,,,
254207901253,,254,20,790,1253,,,
254207901254,,254,20,790,1254,,,
254207901255,,254,20,790,1255,,,
254207901256,,254,20,790,1256,,,
254207901257,,254,20,790,1257,,,
254207901258,,254,20,790,1258,,,
254207901259,,254,20,790,1259,,,
254207901260,,254,20,790,1260,,,
254207901261,,254,20,790,1261,,,
254207901262,,254,20,790,1262,,,
254207901263,,254,20,790,1263,,,
